,Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper
104653,Salmonellosis,Modoc,2003,Male,0,4816,0.0,0.0,76.567
69851,Leprosy,Alpine,2007,Female,0,599,0.0,0.0,613.947
100051,"Rabies, human",Tulare,2010,Male,0,221912,0.0,0.0,1.662
3860,Anaplasmosis and Ehrlichiosis,Plumas,2011,Female,0,9985,0.0,0.0,36.937
122978,Toxic Shock Syndrome (Non-Streptococcal),Santa Cruz,2005,Female,0,127593,0.0,0.0,2.891
21751,Chlamydia,Santa Cruz,2010,Female,556,131911,421.49699999999996,387.25,457.95
89960,Pertussis,Solano,2008,Female,1,206443,0.484,0.012,2.699
18610,Campylobacteriosis,Napa,2009,Female,17,67950,25.018,14.575,40.054
86632,Paralytic Shellfish Poisoning,Nevada,2001,Female,0,47308,0.0,0.0,7.797000000000001
99567,"Rabies, human",Santa Clara,2003,Female,0,838473,0.0,0.0,0.44
66227,Invasive Meningococcal Disease,Sacramento,2014,Male,1,716435,0.14,0.004,0.778
99937,"Rabies, human",Sutter,2014,Male,0,47879,0.0,0.0,7.704
64652,Influenza Death (<65 years of age),Tulare,2009,Female,2,218918,0.914,0.111,3.3
5361,Babesiosis,El Dorado,2006,Male,0,87604,0.0,0.0,4.211
84115,Measles,Sonoma,2006,Male,0,231132,0.0,0.0,1.5959999999999999
87598,Paralytic Shellfish Poisoning,Tehama,2004,Female,0,29977,0.0,0.0,12.305
110367,Shigellosis,Fresno,2004,Female,27,430198,6.276,4.136,9.131
89244,Pertussis,Placer,2008,Female,3,172768,1.736,0.358,5.075
59317,"Hepatitis B, Acute",Los Angeles,2012,Female,12,5040999,0.23800000000000002,0.12300000000000001,0.41600000000000004
130756,Tularemia,Tehama,2011,Male,0,31630,0.0,0.0,11.662
126419,Tuberculosis,Del Norte,2004,Male,0,15600,0.0,0.0,23.644000000000002
76926,Listeriosis,Tulare,2004,Male,0,199949,0.0,0.0,1.845
129765,Tularemia,Nevada,2003,Female,0,48555,0.0,0.0,7.597
118551,Streptococcal Infection (cases in food and dairy workers),Ventura,2004,Female,0,399212,0.0,0.0,0.924
73881,Leptospirosis,San Joaquin,2002,Male,0,300991,0.0,0.0,1.226
83952,Measles,Shasta,2008,Female,0,89894,0.0,0.0,4.104
53988,Hantavirus Infection,Imperial,2013,Female,0,86982,0.0,0.0,4.2410000000000005
48634,Giardiasis,Calaveras,2002,Female,2,21136,9.463,1.146,34.178000000000004
134424,Typhus Fever,Marin,2012,Male,0,124940,0.0,0.0,2.952
56401,Hemolytic Uremic Syndrome,Humboldt,2009,Male,1,66903,1.495,0.038,8.328
69126,Legionellosis,Santa Clara,2003,Male,3,855738,0.35100000000000003,0.07200000000000001,1.025
15956,Brucellosis,Merced,2001,Male,0,108541,0.0,0.0,3.3989999999999996
88430,Pertussis,Imperial,2001,Female,1,69392,1.4409999999999998,0.036000000000000004,8.029
41132,Diphtheria,Santa Barbara,2011,Male,0,213871,0.0,0.0,1.725
81863,Malaria,Tulare,2005,Female,0,204140,0.0,0.0,1.807
56123,Hemolytic Uremic Syndrome,Colusa,2001,Female,0,9370,0.0,0.0,39.361
90971,"Plague, human",Imperial,2002,Male,0,76478,0.0,0.0,4.823
40706,Diphtheria,Plumas,2011,Female,0,9985,0.0,0.0,36.937
132721,"Typhoid Fever, case",San Luis Obispo,2009,Male,0,137392,0.0,0.0,2.685
141335,Yersiniosis,Solano,2007,Male,0,206527,0.0,0.0,1.786
30366,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Modoc,2011,Female,0,4749,0.0,0.0,77.64699999999999
121507,Toxic Shock Syndrome (Non-Streptococcal),El Dorado,2003,Male,0,83795,0.0,0.0,4.402
73614,Leptospirosis,Plumas,2011,Male,0,9965,0.0,0.0,37.012
86861,Paralytic Shellfish Poisoning,Sacramento,2007,Male,0,679642,0.0,0.0,0.5429999999999999
97596,Q Fever,Tulare,2006,Female,0,207930,0.0,0.0,1.774
79249,Lyme Disease,Stanislaus,2011,Female,0,261726,0.0,0.0,1.409
2053,Amebiasis,Solano,2013,Female,0,211988,0.0,0.0,1.74
67316,Legionellosis,California,2013,Female,75,19177344,0.391,0.308,0.49
134255,Typhus Fever,Lake,2012,Female,0,32003,0.0,0.0,11.526
3727,Anaplasmosis and Ehrlichiosis,Nevada,2009,Female,0,49713,0.0,0.0,7.42
104872,Salmonellosis,Orange,2006,Male,164,1464078,11.202,9.552999999999999,13.052999999999999
18764,Campylobacteriosis,Plumas,2004,Male,0,10452,0.0,0.0,35.287
5994,Babesiosis,Merced,2007,Male,0,125184,0.0,0.0,2.947
125563,Trichinosis,Sierra,2013,Female,0,1543,0.0,0.0,238.78599999999997
85798,Paralytic Shellfish Poisoning,El Dorado,2006,Male,0,87604,0.0,0.0,4.211
122844,Toxic Shock Syndrome (Non-Streptococcal),San Mateo,2002,Male,0,346513,0.0,0.0,1.065
19595,Campylobacteriosis,Tehama,2006,Female,6,30951,19.386,7.114,42.18899999999999
112603,Spotted Fever Rickettsiosis,Amador,2014,Female,0,16358,0.0,0.0,22.548000000000002
85495,Paralytic Shellfish Poisoning,Alpine,2003,Male,0,653,0.0,0.0,563.32
67889,Legionellosis,Inyo,2008,Female,0,9209,0.0,0.0,40.049
33133,Cryptosporidiosis,Sierra,2002,Male,0,1805,0.0,0.0,204.16099999999997
135710,Typhus Fever,Tehama,2001,Male,0,27925,0.0,0.0,13.209000000000001
17452,Campylobacteriosis,Alameda,2002,Female,162,748222,21.651,18.445999999999998,25.254
11370,"Botulism, Other",Riverside,2004,Male,0,923993,0.0,0.0,0.39899999999999997
18127,Campylobacteriosis,Lake,2003,Female,0,31191,0.0,0.0,11.825999999999999
1928,Amebiasis,Shasta,2013,Male,0,87666,0.0,0.0,4.208
92056,"Plague, human",San Francisco,2013,Female,0,409265,0.0,0.0,0.9009999999999999
12977,"Botulism, Wound",Glenn,2009,Male,0,14150,0.0,0.0,26.066
20648,Chlamydia,Lassen,2006,Male,15,22389,66.997,37.503,110.478
127853,Tuberculosis,Santa Barbara,2006,Male,12,207101,5.794,2.9939999999999998,10.121
56741,Hemolytic Uremic Syndrome,Madera,2010,Female,0,78527,0.0,0.0,4.697
22407,Cholera,Alameda,2004,Male,0,719059,0.0,0.0,0.513
48844,Giardiasis,Fresno,2002,Female,25,414207,6.0360000000000005,3.906,8.91
124450,Trichinosis,Madera,2006,Female,0,74530,0.0,0.0,4.949
24032,Cholera,San Luis Obispo,2008,Female,0,130093,0.0,0.0,2.8360000000000003
128902,Tularemia,Del Norte,2009,Female,0,12720,0.0,0.0,28.996
99387,"Rabies, human",San Francisco,2013,Female,0,409265,0.0,0.0,0.9009999999999999
7252,Babesiosis,Tulare,2005,Female,0,204140,0.0,0.0,1.807
109826,Shiga Toxin Positive Feces (without culture confirmation),Tulare,2008,Male,0,215925,0.0,0.0,1.7080000000000002
105114,Salmonellosis,San Bernardino,2003,Female,70,929010,7.535,5.874,9.52
760,Amebiasis,Lassen,2002,Female,0,12184,0.0,0.0,30.272
25299,Ciguatera Fish Poisoning,Glenn,2010,Female,0,13938,0.0,0.0,26.463
116971,Streptococcal Infection (cases in food and dairy workers),Lassen,2011,Male,0,22212,0.0,0.0,16.605999999999998
52528,Gonorrhea,San Francisco,2010,Male,1649,410063,402.13300000000004,382.99199999999996,421.98
71444,Leprosy,San Luis Obispo,2012,Male,0,138738,0.0,0.0,2.659
83754,Measles,San Luis Obispo,2012,Male,0,138738,0.0,0.0,2.659
107670,Scombroid Fish Poisoning,San Francisco,2014,Male,0,424929,0.0,0.0,0.868
99711,"Rabies, human",Sierra,2009,Female,0,1601,0.0,0.0,230.146
67520,Legionellosis,Calaveras,2011,Female,0,22552,0.0,0.0,16.355999999999998
16802,Brucellosis,Santa Cruz,2003,Male,0,127255,0.0,0.0,2.8989999999999996
113698,Spotted Fever Rickettsiosis,Orange,2001,Female,0,1456262,0.0,0.0,0.253
92047,"Plague, human",San Francisco,2010,Female,0,396251,0.0,0.0,0.9309999999999999
28225,Coccidioidomycosis,Mariposa,2012,Male,0,9094,0.0,0.0,40.556
1954,Amebiasis,Sierra,2008,Female,0,1617,0.0,0.0,227.87099999999998
5881,Babesiosis,Marin,2012,Female,0,128952,0.0,0.0,2.861
50293,Giardiasis,Santa Cruz,2002,Female,0,128115,0.0,0.0,2.8789999999999996
94010,Psittacosis,Mono,2012,Male,0,7592,0.0,0.0,48.577
18936,Campylobacteriosis,San Bernardino,2005,Male,56,966781,5.792000000000001,4.376,7.522
105742,Salmonellosis,Sutter,2001,Male,5,39714,12.59,4.088,29.378
102154,Relapsing Fever,Santa Cruz,2014,Female,0,135956,0.0,0.0,2.713
89582,Pertussis,San Joaquin,2008,Male,6,336325,1.784,0.655,3.883
51934,Gonorrhea,Merced,2009,Male,27,127705,21.143,13.933,30.76
140363,Yersiniosis,Modoc,2005,Male,0,4851,0.0,0.0,76.015
84380,Measles,Tuolumne,2011,Female,0,25869,0.0,0.0,14.259
60640,"Hepatitis E, acute infection",El Dorado,2013,Female,0,91508,0.0,0.0,4.031000000000001
13499,"Botulism, Wound",Merced,2001,Female,0,108778,0.0,0.0,3.391
37646,Dengue,Lassen,2014,Male,0,21524,0.0,0.0,17.137
61250,HIV,California,2005,Female,667,18088355,3.687,3.4130000000000003,3.978
75630,Listeriosis,Mendocino,2006,Female,0,43894,0.0,0.0,8.404
119616,Tetanus,Mariposa,2014,Male,0,9032,0.0,0.0,40.834
41437,Diphtheria,Stanislaus,2001,Female,0,235061,0.0,0.0,1.569
18713,Campylobacteriosis,Placer,2001,Male,27,129717,20.814,13.717,30.283
57973,Hemolytic Uremic Syndrome,Sonoma,2014,Female,3,251616,1.192,0.24600000000000002,3.484
102757,Rubella,California,2014,Female,1,19346905,0.005,0.0,0.028999999999999998
99382,"Rabies, human",San Francisco,2011,Male,0,413541,0.0,0.0,0.892
70099,Leprosy,Del Norte,2006,Female,0,12635,0.0,0.0,29.191
70144,Leprosy,El Dorado,2007,Female,0,88622,0.0,0.0,4.162
95297,Psittacosis,Yuba,2005,Male,0,34037,0.0,0.0,10.837
42277,E. coli O157,Fresno,2003,Female,3,423018,0.7090000000000001,0.146,2.073
79099,Lyme Disease,Sierra,2013,Male,0,1571,0.0,0.0,234.535
38687,Dengue,Santa Clara,2010,Female,2,890176,0.225,0.027000000000000003,0.812
107592,Scombroid Fish Poisoning,San Diego,2002,Male,3,1462232,0.205,0.042,0.6
17203,Brucellosis,Tulare,2003,Female,0,195203,0.0,0.0,1.89
2561,Anaplasmosis and Ehrlichiosis,Alameda,2014,Male,0,775895,0.0,0.0,0.475
43884,E. coli O157,Solano,2002,Female,0,202735,0.0,0.0,1.82
121225,Toxic Shock Syndrome (Non-Streptococcal),Alpine,2007,Male,0,649,0.0,0.0,566.7819999999999
78386,Lyme Disease,Nevada,2014,Male,0,48602,0.0,0.0,7.59
49217,Giardiasis,Lassen,2007,Male,0,22910,0.0,0.0,16.1
121563,Toxic Shock Syndrome (Non-Streptococcal),Fresno,2008,Female,0,456755,0.0,0.0,0.8079999999999999
114577,Spotted Fever Rickettsiosis,Stanislaus,2013,Female,0,265760,0.0,0.0,1.3880000000000001
5528,Babesiosis,Imperial,2006,Female,0,78596,0.0,0.0,4.6930000000000005
131512,"Typhoid Fever, case",Glenn,2011,Male,0,14265,0.0,0.0,25.855999999999998
109793,Shiga Toxin Positive Feces (without culture confirmation),Tehama,2013,Male,0,31976,0.0,0.0,11.536
71651,Leprosy,Shasta,2011,Male,0,87561,0.0,0.0,4.213
94469,Psittacosis,San Francisco,2005,Female,0,383701,0.0,0.0,0.961
109192,Shiga Toxin Positive Feces (without culture confirmation),Napa,2007,Female,0,66731,0.0,0.0,5.528
27204,Ciguatera Fish Poisoning,Yolo,2009,Female,0,102303,0.0,0.0,3.6060000000000003
141436,Yersiniosis,Stanislaus,2013,Female,1,265760,0.376,0.01,2.096
128860,Tularemia,Contra Costa,2009,Female,0,533877,0.0,0.0,0.691
132693,"Typhoid Fever, case",San Joaquin,2014,Female,0,356979,0.0,0.0,1.033
118930,Tetanus,Colusa,2006,Female,0,10228,0.0,0.0,36.06
44512,E. coli Other STEC (non-O157),Colusa,2008,Female,0,10363,0.0,0.0,35.59
119453,Tetanus,Los Angeles,2002,Female,1,4925059,0.02,0.001,0.113
28346,Coccidioidomycosis,Modoc,2010,Male,0,4868,0.0,0.0,75.749
102431,Relapsing Fever,Sutter,2008,Male,0,46366,0.0,0.0,7.956
90725,"Plague, human",Contra Costa,2004,Male,0,486962,0.0,0.0,0.758
49573,Giardiasis,Mono,2014,Female,1,6912,14.468,0.366,80.582
18192,Campylobacteriosis,Lassen,2010,Male,0,22516,0.0,0.0,16.382
94586,Psittacosis,San Mateo,2002,Female,0,358384,0.0,0.0,1.0290000000000001
12049,"Botulism, Other",Sonoma,2006,Male,0,231132,0.0,0.0,1.5959999999999999
82528,Measles,Glenn,2010,Female,0,13938,0.0,0.0,26.463
8760,"Botulism, Foodborne",Placer,2003,Male,0,142244,0.0,0.0,2.593
38857,Dengue,Siskiyou,2011,Female,0,22498,0.0,0.0,16.395
79843,Malaria,Calaveras,2013,Female,0,22444,0.0,0.0,16.435
73067,Leptospirosis,Madera,2007,Male,0,70617,0.0,0.0,5.224
91361,"Plague, human",Mariposa,2006,Female,0,8982,0.0,0.0,41.06100000000001
81792,Malaria,Tehama,2009,Male,0,31425,0.0,0.0,11.738
6415,Babesiosis,Sacramento,2007,Male,0,679642,0.0,0.0,0.5429999999999999
9921,"Botulism, Foodborne",Yuba,2003,Male,0,32194,0.0,0.0,11.458
28197,Coccidioidomycosis,Mariposa,2003,Female,0,8716,0.0,0.0,42.31399999999999
81448,Malaria,Santa Cruz,2006,Female,1,127995,0.7809999999999999,0.02,4.353
81376,Malaria,Santa Barbara,2010,Female,0,211115,0.0,0.0,1.7469999999999999
26443,Ciguatera Fish Poisoning,San Francisco,2013,Female,0,409265,0.0,0.0,0.9009999999999999
140089,Yersiniosis,Lassen,2012,Female,0,12115,0.0,0.0,30.444000000000003
114110,Spotted Fever Rickettsiosis,San Joaquin,2012,Female,0,350020,0.0,0.0,1.054
127199,Tuberculosis,Mono,2012,Male,0,7592,0.0,0.0,48.577
7178,Babesiosis,Tehama,2008,Male,0,31206,0.0,0.0,11.82
81288,Malaria,San Luis Obispo,2009,Female,0,130832,0.0,0.0,2.82
95990,Q Fever,Kings,2002,Male,0,77215,0.0,0.0,4.777
43328,E. coli O157,Sacramento,2014,Male,12,716435,1.675,0.865,2.926
16022,Brucellosis,Modoc,2009,Male,0,4856,0.0,0.0,75.937
137282,Vibrio Infection (non-Cholera),Fresno,2004,Female,0,430198,0.0,0.0,0.857
13590,"Botulism, Wound",Mono,2003,Male,0,7339,0.0,0.0,50.251000000000005
31248,Cryptosporidiosis,Alameda,2006,Female,7,746698,0.937,0.377,1.932
49661,Giardiasis,Nevada,2001,Male,9,46207,19.477,8.907,36.971
4380,Anaplasmosis and Ehrlichiosis,Shasta,2002,Female,0,86616,0.0,0.0,4.2589999999999995
106547,Scombroid Fish Poisoning,Glenn,2009,Female,0,13906,0.0,0.0,26.524
77490,Lyme Disease,Del Norte,2010,Female,0,12648,0.0,0.0,29.160999999999998
125821,Trichinosis,Trinity,2001,Female,0,6327,0.0,0.0,58.287
32728,Cryptosporidiosis,San Bernardino,2008,Female,2,1012903,0.19699999999999998,0.024,0.713
89533,Pertussis,San Francisco,2006,Female,14,385444,3.6319999999999997,1.986,6.093999999999999
111419,Shigellosis,Sacramento,2009,Female,8,719853,1.111,0.48,2.19
114336,Spotted Fever Rickettsiosis,Shasta,2003,Female,0,87754,0.0,0.0,4.204
68699,Legionellosis,Riverside,2001,Male,3,807987,0.371,0.077,1.085
124856,Trichinosis,Orange,2001,Male,0,1433646,0.0,0.0,0.257
88133,Pertussis,Calaveras,2014,Male,7,22527,31.074,12.494000000000002,64.013
38516,Dengue,San Joaquin,2009,Female,0,341446,0.0,0.0,1.08
21527,Chlamydia,San Joaquin,2005,Male,808,324668,248.87,232.023,266.61400000000003
110137,Shigellosis,Butte,2011,Male,1,109194,0.9159999999999999,0.023,5.102
81226,Malaria,San Joaquin,2002,Male,3,300991,0.997,0.20600000000000002,2.9130000000000003
2687,Anaplasmosis and Ehrlichiosis,Butte,2014,Female,0,112637,0.0,0.0,3.275
103880,Salmonellosis,Calaveras,2014,Female,5,22552,22.171,7.199,51.732
129164,Tularemia,Inyo,2012,Male,0,9454,0.0,0.0,39.012
97413,Q Fever,Stanislaus,2001,Female,0,235061,0.0,0.0,1.569
69384,Legionellosis,Stanislaus,2005,Male,0,245811,0.0,0.0,1.501
17734,Campylobacteriosis,Contra Costa,2012,Female,141,547638,25.747,21.673000000000002,30.364
94881,Psittacosis,Solano,2002,Male,0,204081,0.0,0.0,1.808
13264,"Botulism, Wound",Lassen,2007,Female,0,12839,0.0,0.0,28.728
63369,HIV,Sutter,2010,Male,4,46965,8.517000000000001,2.3209999999999997,21.805
35506,Cysticercosis or Taeniasis,Mono,2009,Female,0,6524,0.0,0.0,56.527
92293,"Plague, human",Santa Cruz,2002,Female,0,128115,0.0,0.0,2.8789999999999996
104760,Salmonellosis,Monterey,2011,Female,30,203882,14.714,9.927999999999999,21.005
40952,Diphtheria,San Francisco,2009,Female,0,394990,0.0,0.0,0.934
119321,Tetanus,Kern,2013,Male,0,448703,0.0,0.0,0.8220000000000001
60950,"Hepatitis E, acute infection",San Benito,2012,Female,0,28368,0.0,0.0,13.003
110022,Shigellosis,Alpine,2001,Female,0,589,0.0,0.0,624.3380000000001
57423,Hemolytic Uremic Syndrome,San Bernardino,2013,Male,0,1032092,0.0,0.0,0.35700000000000004
97015,Q Fever,San Luis Obispo,2008,Male,0,136757,0.0,0.0,2.697
127729,Tuberculosis,San Joaquin,2007,Female,19,336128,5.653,3.403,8.827
60016,"Hepatitis C, Acute",Lassen,2013,Female,0,12104,0.0,0.0,30.471999999999998
49403,Giardiasis,Mariposa,2013,Male,2,9054,22.089000000000002,2.675,79.773
119208,Tetanus,Humboldt,2008,Female,0,66619,0.0,0.0,5.537000000000001
7979,"Botulism, Foodborne",Humboldt,2009,Male,0,66903,0.0,0.0,5.513999999999999
31040,Dengue,Napa,2009,Male,0,67714,0.0,0.0,5.4479999999999995
78176,Lyme Disease,Merced,2014,Male,0,133492,0.0,0.0,2.763
10243,"Botulism, Other",Colusa,2006,Female,0,10228,0.0,0.0,36.06
101315,Relapsing Fever,Modoc,2005,Male,0,4851,0.0,0.0,76.015
89836,Pertussis,Shasta,2009,Female,1,89964,1.112,0.027999999999999997,6.193
91903,"Plague, human",San Benito,2004,Female,0,27433,0.0,0.0,13.446
109529,Shiga Toxin Positive Feces (without culture confirmation),San Mateo,2014,Female,1,380349,0.263,0.006999999999999999,1.465
69153,Legionellosis,Santa Clara,2012,Female,3,911248,0.32899999999999996,0.068,0.9620000000000001
93680,Psittacosis,Lassen,2014,Male,0,21524,0.0,0.0,17.137
133833,Typhus Fever,Del Norte,2002,Female,0,12338,0.0,0.0,29.894000000000002
131194,"Typhoid Fever, case",Butte,2003,Male,0,103625,0.0,0.0,3.56
50509,Giardiasis,Sonoma,2004,Female,11,238891,4.605,2.299,8.238999999999999
7504,"Botulism, Foodborne",Alameda,2005,Female,0,744115,0.0,0.0,0.496
